Predecessor,Sequence_x
ka riro,15
* waiho,10
te tangata,9
kia riro,9
i riro,7
* ehara,7
kua riro,6
e riro,6
* engari,6
ka noho,4
* tekau,4
i.te tau,4
i.te mea,4
e tika,4
ki.te hunga,3
ko.te mea,3
o.te tangata,3
he kaupapa,3
te wahine,3
e whakaae,3
ko.te tangata,3
e pai,2
i.ngā tāngata,2
mā rātou,2
i whakapae,2
e kī,2
e whakapae,2
a.te komiti,2
nā reira,2
nā.te hōnore,2
nā.te mea,2
mā tātou,2
ko.te hunga,2
e mōhio,2
* ahakoa,2
te mana,2
* tuku,2
* mehemea,2
* tētahi,2
* koia,2
ka tuku,2
* tēnā,2
ka waiho,2
* tēnei kaupapa,2
ā,2
ka whakaae,2
te hunga,2
* ināianei,2
kia whakahoki,1
kia tono,1
kia noho,1
ko.te tikanga,1
ko.te wahine,1
ko.te riro,1
ki.te whakahoki,1
ko.tō na tikanga,1
kua mahue,1
kia wherawhera,1
ko.ngā tāngata,1
ko.te reo,1
kia āhei,1
ko tēnei kaiārahi,1
kua tuku,1
ko tēnei taputapu,1
ko.te mōhio,1
ko.te mutunga,1
ko.te mahi,1
ko.te kuia,1
ko ēnei taonga,1
ko.te karaitiana,1
ko.taku kuia,1
ko.ngā whakairo,1
ngā māori,1
kua waiho,1
o konei,1
o.ngā kōhanga,1
o.ngā rīpoata,1
o.ngā take,1
o.ngā tūpuna,1
o.te hunga,1
o.te mea,1
o.te rōpū,1
o.te wā,1
te mea,1
te nanakia,1
te pai,1
te tauira,1
te titiro,1
te tāra,1
tō rātou ture,1
ā iwi,1
ā.tō na wā,1
o rōia,1
nō.te tau,1
me kī,1
nō.te mea,1
me.taku tamāhine,1
me.te kōrero,1
mā.te tika,1
mō.ngā tamariki,1
mō.te whakataetae,1
mō.ō mātou whenua,1
ngā mea,1
ngā minita,1
ki.te mea,1
ngā nanakia,1
ngā rākau,1
ngā tohunga,1
ngā tāngata,1
ngā whare,1
ngā wāhanga,1
nā na,1
nō reira,1
ki.te tangata,1
ka tono,1
ki.te koroua,1
* tēnā pea,1
* tētahi ture,1
* whā,1
* ētahi whakaatanga,1
a brian,1
a ia,1
a korotangi,1
a moe-rewa,1
a tāne,1
a.te arawa,1
a.te iwi,1
a.te kāmura,1
a.te rua,1
a.te tokotoru,1
e hoa,1
e ia,1
e kōrero,1
e pēnei,1
* tērā pea,1
* tēnā kōrero,1
e tuku,1
* tēnei take,1
* aroha,1
* arā,1
* hoki,1
* ia,1
* inā,1
* katoa,1
* kite,1
* koe,1
* kāre,1
* kātahi,1
* mōhio,1
* ono,1
* rua,1
* toru,1
* tou,1
* tātou,1
* tēnei,1
e tino,1
e waiho,1
ki.te ika,1
i.te pukapuka,1
i.te rua,1
i.te tangata,1
i.te tekau,1
i.te tīmata,1
i.te wahine,1
i.tā rātou kaha,1
ka kite,1
* and,1
ka whāngai,1
kei hea,1
kei.te pai,1
ki konei,1
ki tēnei tangata,1
ki.ngā hunga,1
ki.ngā kaikutikuti,1
ki.ngā pākeke,1
ki.tana tuahine,1
i.te reo,1
i.te motu,1
e wāriu,1
i.ngā kōrero,1
e.te kaupapa,1
e.ō ku tūpuna,1
he kamupene,1
he mōnehu,1
he pūtea,1
he tika,1
he waka,1
he whakapae,1
hei pānui,1
hei whai,1
i kake,1
i konei,1
i kī,1
i pērā,1
i pōti,1
i tērā wiki,1
i whakarite,1
ō kai,1
